Universidad,Comunidad autónoma,Provincia,Tipo de universidad,Modalidad de universidad,dimension_source
A Coruña,Galicia,A Coruña,Pública,Presencial,curated_from_map_image
A Distancia de Madrid,Comunidad de Madrid,Madrid,Privada,No Presencial,curated_from_map_image
Abat Oliba CEU,Cataluña,Barcelona,Privada,Presencial,curated_from_map_image
Alcalá,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Alfonso X El Sabio,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Alicante,Comunitat Valenciana,Alicante/Alacant,Pública,Presencial,curated_from_map_image
Almería,Andalucía,Almería,Pública,Presencial,curated_from_map_image
Antonio de Nebrija,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Atlántico Medio,Canarias,Las Palmas,Privada,Presencial,curated_from_map_image
Autónoma de Barcelona,Cataluña,Barcelona,Pública,Presencial,curated_from_map_image
Autónoma de Madrid,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Barcelona,Cataluña,Barcelona,Pública,Presencial,curated_from_map_image
Burgos,Castilla y León,Burgos,Pública,Presencial,curated_from_map_image
CUNEF Universidad,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Camilo José Cela,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Cantabria,Cantabria,Cantabria,Pública,Presencial,curated_from_map_image
Cardenal Herrera-CEU,Comunitat Valenciana,Valencia/València,Privada,Presencial,curated_from_map_image
Carlos III de Madrid,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Castilla-La Mancha,Castilla-La Mancha,Varias,Pública,Presencial,curated_from_map_image
Católica San Antonio,Región de Murcia,Murcia,Privada,Presencial,curated_from_map_image
Católica Santa Teresa de Jesús de Ávila,Castilla y León,Ávila,Privada,Presencial,curated_from_map_image
Católica de Valencia San Vicente Mártir,Comunitat Valenciana,Valencia/València,Privada,Presencial,curated_from_map_image
Complutense de Madrid,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Cádiz,Andalucía,Cádiz,Pública,Presencial,curated_from_map_image
Córdoba,Andalucía,Córdoba,Pública,Presencial,curated_from_map_image
Deusto,País Vasco,Bizkaia,Privada,Presencial,curated_from_map_image
ESIC Universidad,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Europea Miguel de Cervantes,Castilla y León,Valladolid,Privada,Presencial,curated_from_map_image
"Europea Miguel de Cervantes, SA",Castilla y León,Valladolid,Privada,Presencial,curated_from_map_image
Europea de Canarias,Canarias,Santa Cruz de Tenerife,Privada,Presencial,curated_from_map_image
Europea de Madrid,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Europea de Valencia,Comunitat Valenciana,Valencia/València,Privada,Presencial,curated_from_map_image
Europea del Atlántico,Cantabria,Cantabria,Privada,Presencial,curated_from_map_image
Extremadura,Extremadura,Badajoz,Pública,Presencial,curated_from_map_image
Fernando Pessoa-Canarias (UFP-C),Canarias,Las Palmas,Privada,Presencial,curated_from_map_image
Francisco de Vitoria,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Girona,Cataluña,Girona,Pública,Presencial,curated_from_map_image
Granada,Andalucía,Granada,Pública,Presencial,curated_from_map_image
Huelva,Andalucía,Huelva,Pública,Presencial,curated_from_map_image
IE Universidad,Castilla y León,Segovia,Privada,Presencial,curated_from_map_image
Illes Balears (Les),Illes Balears,Illes Balears,Pública,Presencial,curated_from_map_image
Internacional Isabel I de Castilla,Castilla y León,Burgos,Privada,No Presencial,curated_from_map_image
Internacional Menéndez Pelayo,España,Total,Pública,Especial,curated_from_map_image
Internacional Valenciana,Comunitat Valenciana,Valencia/València,Privada,No Presencial,curated_from_map_image
Internacional Villanueva,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Internacional de Andalucía,Andalucía,Sevilla,Pública,Especial,curated_from_map_image
Internacional de Catalunya,Cataluña,Barcelona,Privada,Presencial,curated_from_map_image
Internacional de La Rioja,La Rioja,La Rioja,Privada,No Presencial,curated_from_map_image
Internacional de la Empresa,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Jaume I de Castellón,Comunitat Valenciana,Castellón/Castelló,Pública,Presencial,curated_from_map_image
Jaén,Andalucía,Jaén,Pública,Presencial,curated_from_map_image
La Laguna,Canarias,Santa Cruz de Tenerife,Pública,Presencial,curated_from_map_image
La Rioja,La Rioja,La Rioja,Pública,Presencial,curated_from_map_image
Las Palmas de Gran Canaria,Canarias,Las Palmas,Pública,Presencial,curated_from_map_image
León,Castilla y León,León,Pública,Presencial,curated_from_map_image
Lleida,Cataluña,Lleida,Pública,Presencial,curated_from_map_image
Loyola Andalucía,Andalucía,Sevilla,Privada,Presencial,curated_from_map_image
Miguel Hernández de Elche,Comunitat Valenciana,Alicante/Alacant,Pública,Presencial,curated_from_map_image
Mondragón Unibertsitatea,País Vasco,Gipuzkoa,Privada,Presencial,curated_from_map_image
Murcia,Región de Murcia,Murcia,Pública,Presencial,curated_from_map_image
Málaga,Andalucía,Málaga,Pública,Presencial,curated_from_map_image
Nacional de Educación a Distancia,España,Total,Pública,No Presencial,curated_from_map_image
Navarra,C. Foral de Navarra,Navarra,Privada,Presencial,curated_from_map_image
Oberta de Catalunya,Cataluña,Barcelona,Privada,No Presencial,curated_from_map_image
Oviedo,Principado de Asturias,Asturias,Pública,Presencial,curated_from_map_image
Pablo de Olavide,Andalucía,Sevilla,Pública,Presencial,curated_from_map_image
País Vasco/Euskal Herriko Unibertsitatea,País Vasco,Varias,Pública,Presencial,curated_from_map_image
Politècnica de València,Comunitat Valenciana,Valencia/València,Pública,Presencial,curated_from_map_image
Politécnica de Cartagena,Región de Murcia,Murcia,Pública,Presencial,curated_from_map_image
Politécnica de Catalunya,Cataluña,Barcelona,Pública,Presencial,curated_from_map_image
Politécnica de Madrid,Comunidad de Madrid,Madrid,Pública,Presencial,curated_from_map_image
Pompeu Fabra,Cataluña,Barcelona,Pública,Presencial,curated_from_map_image
Pontificia Comillas,Comunidad de Madrid,Madrid,Privada,Presencial,curated_from_map_image
Pontificia de Salamanca,Castilla y León,Salamanca,Privada,Presencial,curated_from_map_image
Privada,España,Total,Privada,,aggregate_row
