
 Recuentos por universidad
PTGAS en centros propios de universidades públicas por universidad, categoría y sexo
Unidades: Personal

;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;
;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;
    Total;49.122;49.493;50.220;51.044;52.186;52.123;52.432;52.725;53.889;48.447,4;48.816,6;49.554,3;50.196,6;51.431,4;51.447,2;51.747,5;52.095,0;53.162,6;29.165;29.439;29.918;30.469;31.247;31.237;31.520;31.861;32.693;28.786,7;29.061,4;29.556,9;30.031,6;30.849,1;30.888,2;31.170,8;31.557,2;32.348,9;19.957;20.054;20.302;20.575;20.939;20.886;20.912;20.864;21.196;19.660,7;19.755,2;19.997,4;20.165,0;20.582,3;20.559,0;20.576,7;20.537,8;20.813,8;
    Funcionario Total;31.487;31.765;32.373;32.937;33.822;34.822;35.273;36.099;37.231;31.385,9;31.697,4;32.299,5;32.865,4;33.762,9;34.761,1;35.211,5;36.038,5;37.159,8;21.381;21.566;21.983;22.366;22.945;23.428;23.744;24.340;25.114;21.294,8;21.505,7;21.923,3;22.309,0;22.896,3;23.383,8;23.695,8;24.292,9;25.060,1;10.106;10.199;10.390;10.571;10.877;11.394;11.529;11.759;12.117;10.091,2;10.191,7;10.376,2;10.556,4;10.866,6;11.377,3;11.515,6;11.745,6;12.099,7;
    Funcionario:Grupo A;8.065;8.170;8.409;8.722;8.978;9.155;9.234;9.773;10.179;8.038,6;8.149,7;8.389,3;8.702,7;8.963,2;9.136,8;9.216,0;9.756,1;10.161,7;4.750;4.835;4.989;5.166;5.312;5.432;5.515;5.844;6.117;4.728,8;4.817,4;4.973,3;5.151,3;5.302,3;5.421,2;5.502,7;5.831,8;6.104,6;3.315;3.335;3.420;3.556;3.666;3.723;3.719;3.929;4.062;3.309,7;3.332,3;3.416,0;3.551,4;3.661,0;3.715,7;3.713,3;3.924,3;4.057,1;
    Funcionario.Grupo A:Subgrupo A1;3.125;3.172;3.276;3.357;3.486;3.515;3.607;3.849;4.032;3.117,3;3.164,1;3.267,9;3.347,0;3.480,1;3.509,8;3.599,8;3.842,9;4.026,7;1.653;1.691;1.744;1.779;1.857;1.869;1.937;2.080;2.220;1.648,4;1.684,5;1.738,2;1.772,3;1.853,7;1.866,4;1.933,2;2.076,5;2.216,2;1.472;1.481;1.532;1.578;1.629;1.646;1.670;1.769;1.812;1.468,9;1.479,5;1.529,7;1.574,8;1.626,3;1.643,5;1.666,6;1.766,4;1.810,5;
    Funcionario.Grupo A:Subgrupo A2;4.940;4.998;5.133;5.365;5.492;5.640;5.627;5.924;6.147;4.921,2;4.985,6;5.121,4;5.355,6;5.483,2;5.627,0;5.616,2;5.913,2;6.135,0;3.097;3.144;3.245;3.387;3.455;3.563;3.578;3.764;3.897;3.080,4;3.132,8;3.235,1;3.379,0;3.448,5;3.554,8;3.569,5;3.755,3;3.888,4;1.843;1.854;1.888;1.978;2.037;2.077;2.049;2.160;2.250;1.840,8;1.852,8;1.886,3;1.976,6;2.034,6;2.072,2;2.046,7;2.157,9;2.246,7;
    Funcionario:Grupo B;..;..;..;..;.;.;..;..;..;..;..;..;..;.;.;..;12,5;40,5;..;..;..;..;..;..;.;.;..;..;..;..;..;..;..;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;6,5;24,5;
    Funcionario:Grupo C;22.735;22.890;23.352;23.602;24.292;25.071;25.461;25.797;26.511;22.662,5;22.845,8;23.301,9;23.554,1;24.251,4;25.034,2;25.423,3;25.761,3;26.463,4;16.246;16.331;16.664;16.857;17.328;17.669;17.911;18.201;18.698;16.182,2;16.290,6;16.622,1;16.817,9;17.292,2;17.639,1;17.878,8;18.172,6;18.659,7;6.489;6.559;6.688;6.745;6.964;7.402;7.550;7.596;7.813;6.480,3;6.555,3;6.679,8;6.736,1;6.959,1;7.395,1;7.544,5;7.588,7;7.803,7;
