
 Recuentos por universidad
PTGAS en centros propios de universidades públicas por universidad, categoría y grupo de edad
Unidades: Personal

;Total;;;;;;;;;;;;;;;;;;Menor de 25 años;;;;;;;;;;;;;;;;;;De 25 a 29 años;;;;;;;;;;;;;;;;;;De 30 a 34 años;;;;;;;;;;;;;;;;;;De 35 a 39 años;;;;;;;;;;;;;;;;;;De 40 a 44 años;;;;;;;;;;;;;;;;;;De 45 a 49 años;;;;;;;;;;;;;;;;;;De 50 a 54 años;;;;;;;;;;;;;;;;;;De 55 a 59 años;;;;;;;;;;;;;;;;;;De 60 a 64 años;;;;;;;;;;;;;;;;;;65 y más años;;;;;;;;;;;;;;;;;;
;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;
    Total;49.122;49.493;50.220;51.044;52.186;52.123;52.432;52.725;53.889;48.447,4;48.816,6;49.554,3;50.196,6;51.431,4;51.447,2;51.747,5;52.095,0;53.162,6;..;101;..;106;161;152;172;155;295;61,6;69,7;65,3;80,2;129,1;120,5;127,7;139,8;251,9;363;394;414;458;553;560;591;603;784;323,5;349,6;373,5;410,5;505,0;515,5;535,4;573,4;723,2;1.587;1.394;1.285;1.192;1.165;1.078;1.125;1.205;1.391;1.529,5;1.331,9;1.244,3;1.149,2;1.127,9;1.043,4;1.085,5;1.172,6;1.353,8;4.483;4.033;3.680;3.364;3.207;2.910;2.675;2.485;2.331;4.417,8;3.979,9;3.624,9;3.308,5;3.163,2;2.862,1;2.623,5;2.454,4;2.294,6;7.430;7.074;6.950;6.945;6.862;6.355;5.962;5.528;5.209;7.366,5;7.007,5;6.884,7;6.881,4;6.802,1;6.303,6;5.904,9;5.479,2;5.149,7;11.152;10.707;10.090;9.631;9.267;8.997;8.849;8.841;8.922;11.100,4;10.655,7;10.046,3;9.562,0;9.201,8;8.942,5;8.792,8;8.791,9;8.870,7;11.565;12.102;12.582;12.691;12.578;12.262;11.840;11.306;10.920;11.529,8;12.066,4;12.549,1;12.643,6;12.544,5;12.228,5;11.801,5;11.262,6;10.873,5;7.910;8.605;9.402;10.345;11.314;11.992;12.583;13.041;13.274;7.889,3;8.591,0;9.382,9;10.312,7;11.291,4;11.971,9;12.557,6;13.009,6;13.230,2;4.366;4.862;5.469;5.992;6.701;7.368;8.054;8.813;9.813;4.046,7;4.547,1;5.123,8;5.532,5;6.291,7;7.017,0;7.743,2;8.473,3;9.481,7;184;221;267;320;378;449;581;748;950;182,3;217,9;259,6;316,1;374,9;442,3;575,2;738,2;933,4;
    Funcionario Total;31.487;31.765;32.373;32.937;33.822;34.822;35.273;36.099;37.231;31.385,9;31.697,4;32.299,5;32.865,4;33.762,9;34.761,1;35.211,5;36.038,5;37.159,8;.;..;..;..;..;..;..;..;..;.;11,7;17,3;25,9;..;35,7;..;33,9;76,0;112;116;136;192;250;254;276;318;386;111,0;115,0;132,3;187,1;248,5;251,8;273,6;315,2;384,1;852;699;646;588;616;601;644;763;906;846,1;695,0;641,3;583,7;612,1;597,7;641,5;759,4;903,2;2.765;2.472;2.230;2.038;1.951;1.748;1.632;1.567;1.470;2.749,6;2.459,2;2.217,8;2.027,6;1.945,5;1.739,3;1.622,6;1.562,3;1.464,4;4.899;4.633;4.553;4.513;4.439;4.154;3.921;3.698;3.552;4.874,2;4.613,2;4.532,4;4.495,3;4.424,5;4.139,3;3.906,0;3.687,8;3.540,0;7.581;7.270;6.862;6.510;6.242;6.148;6.033;6.093;6.226;7.557,9;7.254,5;6.846,7;6.493,8;6.223,3;6.130,8;6.017,3;6.075,7;6.212,1;7.640;8.090;8.407;8.515;8.498;8.635;8.355;8.078;7.833;7.622,3;8.080,4;8.398,1;8.505,5;8.491,8;8.628,3;8.346,2;8.065,7;7.819,9;4.908;5.376;5.994;6.672;7.437;8.301;8.789;9.182;9.473;4.899,6;5.373,8;5.988,5;6.667,1;7.430,9;8.296,6;8.785,3;9.176,5;9.457,8;2.607;2.962;3.359;3.691;4.100;4.641;5.193;5.836;6.669;2.602,2;2.959,9;3.357,2;3.689,6;4.098,3;4.637,8;5.189,3;5.833,9;6.664,6;116;135;168;190;247;304;394;528;638;115,9;134,9;167,7;189,7;247,0;303,9;393,6;528,0;637,7;
    Funcionario:Grupo A;8.065;8.170;8.409;8.722;8.978;9.155;9.234;9.773;10.179;8.038,6;8.149,7;8.389,3;8.702,7;8.963,2;9.136,8;9.216,0;9.756,1;10.161,7;..;..;.;..;..;.;..;.;.;..;..;.;..;..;.;..;6,5;.;..;..;..;..;..;..;..;..;..;15,5;18,5;19,4;26,1;36,0;33,4;38,3;48,9;..;169;131;129;100;106;111;104;144;158;167,0;129,5;126,8;97,5;104,7;109,3;102,2;142,9;157,7;638;539;466;423;404;355;312;298;263;632,6;534,0;462,2;420,6;402,5;352,4;309,0;296,7;261,0;1.195;1.133;1.131;1.093;1.069;981;896;878;837;1.189,3;1.129,0;1.125,9;1.090,7;1.065,9;976,7;892,6;874,7;834,1;2.032;1.951;1.824;1.780;1.680;1.630;1.595;1.644;1.705;2.024,5;1.946,3;1.820,5;1.773,8;1.674,8;1.624,4;1.590,3;1.640,9;1.702,4;1.999;2.138;2.303;2.408;2.425;2.443;2.372;2.343;2.298;1.996,2;2.134,6;2.300,8;2.405,4;2.423,8;2.441,4;2.369,0;2.338,5;2.294,0;1.288;1.414;1.590;1.839;2.065;2.261;2.411;2.660;2.814;1.287,1;1.414,0;1.589,7;1.838,0;2.063,9;2.259,7;2.410,1;2.658,6;2.809,7;681;786;878;981;1.088;1.221;1.356;1.568;1.824;679,4;784,9;877,0;981,0;1.087,7;1.220,5;1.355,5;1.567,5;1.823,0;..;..;..;..;101;114;146;181;218;..;..;..;..;101,0;114,0;146,0;181,0;217,8;
    Funcionario.Grupo A:Subgrupo A1;3.125;3.172;3.276;3.357;3.486;3.515;3.607;3.849;4.032;3.117,3;3.164,1;3.267,9;3.347,0;3.480,1;3.509,8;3.599,8;3.842,9;4.026,7;.;.;.;..;.;..;..;..;.;.;.;.;..;.;..;..;..;.;.;.;.;..;..;..;..;..;..;5,5;8,5;7,7;10,8;14,3;12,4;13,3;17,3;..;..;..;..;..;..;..;..;..;..;42,6;38,1;40,0;29,1;43,5;45,2;46,1;50,2;..;271;210;181;145;132;107;108;109;..;269,0;207,4;179,5;143,7;131,1;106,1;106,6;108,1;91,2;467;480;464;459;447;387;348;334;312;465,0;478,3;461,7;457,8;446,3;386,8;347,4;333,9;311,7;763;713;705;700;663;639;660;699;751;761,9;711,7;703,3;697,0;660,3;637,5;658,9;698,4;750,9;714;777;815;835;889;912;897;924;937;713,6;776,1;815,0;834,6;889,0;911,5;895,0;922,5;935,9;553;585;655;715;791;834;891;970;1.036;552,7;585,0;654,7;714,5;790,8;834,0;891,0;969,6;1.034,0;284;327;367;417;456;522;569;644;720;283,9;327,0;367,0;417,0;455,7;521,5;568,5;643,5;719,1;..;..;..;..;..;..;..;..;116;..;..;..;..;..;..;..;..;115,8;
    Funcionario.Grupo A:Subgrupo A2;4.940;4.998;5.133;5.365;5.492;5.640;5.627;5.924;6.147;4.921,2;4.985,6;5.121,4;5.355,6;5.483,2;5.627,0;5.616,2;5.913,2;6.135,0;..;..;.;.;..;.;..;.;.;..;..;.;.;..;.;..;.;.;..;..;..;..;..;..;..;..;..;..;..;11,7;15,4;21,7;..;..;31,6;..;125;..;..;..;..;..;..;..;104;124,3;91,4;86,8;68,4;61,1;64,1;56,2;92,7;103,7;367;329;285;278;272;248;204;189;171;363,6;326,6;282,7;276,8;271,3;246,3;202,5;188,6;169,8;728;653;667;634;622;594;548;544;525;724,3;650,7;664,2;632,8;619,7;590,0;545,2;540,9;522,4;1.269;1.238;1.119;1.080;1.017;991;935;945;954;1.262,5;1.234,6;1.117,2;1.076,8;1.014,5;987,0;931,4;942,4;951,6;1.285;1.361;1.488;1.573;1.536;1.531;1.475;1.419;1.361;1.282,6;1.358,5;1.485,8;1.570,8;1.534,8;1.529,9;1.474,0;1.416,0;1.358,1;735;829;935;1.124;1.274;1.427;1.520;1.690;1.778;734,3;829,0;935,0;1.123,5;1.273,1;1.425,7;1.519,1;1.689,0;1.775,7;397;459;511;564;632;699;787;924;1.104;395,5;457,9;510,0;564,0;632,0;699,0;787,0;924,0;1.103,9;..;..;..;..;..;..;..;..;102;..;..;..;..;..;..;..;..;102,0;
    Funcionario:Grupo B;..;..;..;..;.;.;..;..;..;..;..;..;..;.;.;..;12,5;40,5;.;.;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;..;..;..;..;..;..;.;.;.;..;..;..;..;..;..;.;..;..;.;.;.;.;.;..;.;..;..;.;.;.;.;.;..;3,5;.;.;..;..;..;.;.;.;..;.;.;..;..;..;.;.;.;..;..;..;.;.;..;..;.;..;.;..;..;.;.;..;..;.;..;.;..;..;.;.;..;.;.;.;..;..;..;.;.;..;.;.;.;..;.;..;..;.;.;.;..;..;..;.;..;..;.;.;.;..;..;..;.;.;.;..;..;..;..;..;.;.;.;.;..;..;..;..;..;.;.;..;.;.;.;.;.;.;..;.;..;.;.;.;.;.;.;..;
    Funcionario:Grupo C;22.735;22.890;23.352;23.602;24.292;25.071;25.461;25.797;26.511;22.662,5;22.845,8;23.301,9;23.554,1;24.251,4;25.034,2;25.423,3;25.761,3;26.463,4;.;..;..;..;..;..;..;..;..;.;10,7;16,3;23,3;..;30,7;..;26,4;66,0;..;..;112;161;210;218;236;264;330;93,5;94,5;110,8;158,3;209,5;216,3;234,3;262,3;328,1;677;558;508;480;506;487;534;614;744;673,2;555,5;505,6;478,2;503,5;485,4;534,0;612,1;741,5;2.099;1.906;1.743;1.589;1.529;1.375;1.308;1.254;1.197;2.089,8;1.898,8;1.735,3;1.581,6;1.525,0;1.369,8;1.301,6;1.251,0;1.194,0;3.625;3.438;3.365;3.366;3.326;3.135;2.988;2.796;2.688;3.606,8;3.423,6;3.349,9;3.351,7;3.315,0;3.126,1;2.978,7;2.790,6;2.679,7;5.397;5.174;4.930;4.631;4.477;4.420;4.353;4.371;4.466;5.381,6;5.163,6;4.919,0;4.621,6;4.464,9;4.410,7;4.342,2;4.360,7;4.454,9;5.469;5.763;5.926;5.921;5.931;6.048;5.850;5.637;5.434;5.454,1;5.756,8;5.919,3;5.915,2;5.926,5;6.042,9;5.844,9;5.629,6;5.426,3;3.462;3.799;4.270;4.697;5.229;5.885;6.213;6.362;6.481;3.454,7;3.796,8;4.265,5;4.693,2;5.225,2;5.882,5;6.210,9;6.359,3;6.473,5;1.837;2.073;2.382;2.614;2.906;3.288;3.707;4.135;4.703;1.833,8;2.072,7;2.381,4;2.613,1;2.904,8;3.285,9;3.705,2;4.133,4;4.699,6;..;..;..;118;139;184;240;336;400;69,9;..;98,9;117,9;139,0;184,0;239,6;336,0;399,9;
