
 Recuentos por universidad
PTGAS en centros adscritos de universidades públicas por universidad, categoría y sexo
Unidades: Personal

;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Personal titulado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Personal asistencial o administrativo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Personal asistencial o administrativo de investigación;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Personal de servicios y oficios;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;
;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;PTGAS Total;;;;;;;;;PTGAS ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;1.932;2.056;2.223;2.229;2.328;2.280;2.143;2.302;2.235;1.729,1;1.934,2;2.079,6;2.074,2;2.211,8;2.167,8;1.998,2;2.196,3;2.135,0;1.203;1.268;1.390;1.403;1.460;1.429;1.357;1.468;1.436;1.068,8;1.195,2;1.295,6;1.292,8;1.387,1;1.359,7;1.261,4;1.398,8;1.374,9;729;788;833;826;868;851;786;834;799;660,3;739,0;783,9;781,4;824,6;808,1;736,8;797,6;760,1;492;611;652;620;623;596;537;604;575;434,4;586,3;615,3;578,1;597,6;567,8;508,4;579,2;553,2;286;350;383;374;379;354;335;382;370;249,6;336,2;360,1;344,0;364,8;336,9;317,0;365,3;358,4;206;261;269;246;244;242;202;222;205;184,8;250,1;255,2;234,1;232,7;230,9;191,4;214,0;194,8;1.081;1.040;1.176;1.130;1.217;1.253;1.169;1.237;1.288;964,3;975,0;1.099,5;1.069,6;1.156,3;1.193,9;1.074,6;1.181,0;1.231,9;717;681;783;745;803;825;771;819;861;637,2;640,4;728,0;701,2;760,8;787,5;705,5;779,6;822,0;364;359;393;385;414;428;398;418;427;327,1;334,5;371,6;368,5;395,5;406,4;369,1;401,4;410,0;..;..;..;..;.;..;.;.;.;..;..;..;14,5;.;13,8;5,8;.;.;..;..;..;..;.;..;..;..;..;..;..;..;9,5;.;9,8;..;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;337;385;378;463;479;417;431;457;368;308,4;353,0;347,7;411,9;448,9;392,3;409,4;432,1;345,9;190;224;213;273;273;240;249;266;204;172,0;205,6;196,5;238,1;256,5;225,5;237,1;252,9;193,6;147;161;165;190;206;177;182;191;164;136,4;147,4;151,2;173,8;192,4;166,8;172,3;179,1;152,3;
A Coruña;..;.;..;..;..;.;.;.;.;9,7;7,7;9,2;11,7;11,2;6,5;7,5;7,3;7,3;.;.;.;.;.;.;.;.;.;5,7;3,7;4,2;6,7;7,2;4,5;5,5;4,6;4,6;.;.;.;.;.;..;..;..;..;.;.;.;.;.;..;..;..;..;..;..;.;.;.;.;.;.;.;..;..;3,2;3,2;3,2;..;2,7;2,7;2,7;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;.;.;.;.;.;..;..;.;.;.;.;.;.;.;..;..;3,5;3,5;.;..;..;..;..;..;..;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;.;.;.;..;..;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,7;..;..;..;.;.;.;.;.;..;..;..;..;.;.;.;.;.;0,7;..;..;..;..;..;..;..;..;.;.;.;.;..;..;..;..;..;.;.;.;.;
Alcalá;..;..;..;..;..;..;..;..;..;17,1;17,9;19,5;18,9;19,1;19,4;19,8;20,8;19,5;..;..;..;..;..;..;..;..;..;..;..;..;11,2;11,7;13,0;12,0;12,3;10,9;.;.;.;.;.;.;.;.;.;5,1;5,9;7,5;7,7;7,4;6,4;7,8;8,5;8,6;..;..;..;..;..;..;..;.;.;..;..;..;..;0,8;0,8;..;.;.;..;..;..;..;.;.;.;.;.;..;..;..;0,8;.;.;.;.;.;.;.;.;..;..;..;..;.;.;.;.;.;0,8;0,8;0,8;..;.;.;..;..;..;..;..;..;..;..;..;15,5;16,3;17,9;17,3;17,3;17,6;18,0;18,3;16,9;..;..;..;..;..;..;..;..;..;10,4;10,4;10,4;10,4;11,7;13,0;12,0;12,3;10,9;.;.;.;.;.;.;.;.;.;5,1;5,9;7,5;6,9;5,6;4,6;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;.;.;.;.;..;..;..;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;.;.;.;.;..;..;..;..;..;
Alicante;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,5;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0,7;0,7;0,7;0,7;0,7;0,7;..;..;..;.;.;.;..;..;..;..;..;..;.;.;.;..;..;..;..;..;..;.;.;.;..;..;..;..;..;..;.;.;.;..;..;..;..;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;..;..;..;..;..;..;0,5;0,5;0,5;0,5;..;..;..;..;..;..;..;..;..;..;..;.;..;..;0,5;0,5;0,5;0,5;..;..;.;..;..;.;.;.;.;.;.;..;0,7;0,7;.;.;.;.;.;.;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;..;.;.;.;0,7;0,7;0,7;0,7;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;..;..;..;.;.;.;0,7;0,7;0,7;0,7;..;..;.;
Almería;.;.;.;.;.;.;.;.;.;3,5;3,5;3,5;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;..;..;..;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
Autónoma de Barcelona;221;216;237;191;231;236;171;175;179;204,2;180,8;202,1;149,7;216,9;221,5;158,6;163,3;168,4;146;140;161;134;164;172;124;128;130;138,1;121,0;141,0;103,2;156,5;163,3;116,6;120,1;123,1;..;..;..;..;..;..;..;..;..;66,0;59,9;61,1;46,5;60,4;58,2;41,9;43,1;45,3;..;..;..;..;..;..;..;..;..;47,4;48,7;57,4;35,5;68,1;69,0;40,7;39,1;39,5;..;..;..;..;..;..;..;..;..;31,8;31,1;38,9;26,4;51,5;51,9;32,5;31,1;30,5;..;..;..;..;..;..;..;.;..;15,6;17,5;18,5;9,2;16,6;17,1;8,2;8,1;9,0;111;107;116;..;..;101;..;..;..;106,5;88,3;97,0;70,9;87,5;95,6;67,9;79,4;85,2;..;..;..;..;..;..;..;..;..;79,5;68,3;75,2;56,7;68,4;76,8;52,7;62,5;67,0;..;..;..;..;..;..;..;..;..;27,0;20,0;21,8;14,2;19,1;18,9;15,3;16,9;18,2;.;.;.;..;.;.;..;..;..;.;.;.;..;.;.;..;..;..;..;..;..;.;..;..;.;.;.;..;..;..;.;..;..;.;.;.;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;46,3;39,8;43,6;40,3;56,3;51,8;46,9;42,7;41,7;..;..;..;..;..;..;..;..;..;25,9;20,5;25,9;20,1;34,6;32,6;31,5;26,6;25,6;..;..;..;..;..;..;..;..;..;20,4;19,3;17,7;20,2;21,7;19,2;15,5;16,1;16,1;
