
 Recuentos por universidad
PDI en centros adscritos de universidades públicas por universidad, categoría y sexo
Unidades: Personal

;Ambos sexos;;;;;;;;;;;;;;;;;;Mujeres;;;;;;;;;;;;;;;;;;Hombres;;;;;;;;;;;;;;;;;;
;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;PDI Total;;;;;;;;;PDI ETC;;;;;;;;;
;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2015-2016;2016-2017;2017-2018;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Total;
    Total;5.419;5.438;5.703;5.931;6.052;6.207;5.554;5.555;5.725;2.499;2.566;2.620;2.864;2.852;2.935;2.689;2.788;2.862;2.459;2.453;2.587;2.672;2.718;2.801;2.532;2.549;2.610;1.187;1.219;1.277;1.386;1.375;1.420;1.317;1.375;1.397;2.960;2.985;3.116;3.259;3.334;3.406;3.022;3.006;3.115;1.312;1.347;1.343;1.479;1.476;1.516;1.373;1.413;1.466;
    Facultades y Escuelas Superiores (F. y E.S);1.401;1.164;1.375;1.464;1.430;1.418;1.170;1.138;1.300;689;625;699;754;723;729;617;631;725;595;480;577;631;609;580;497;496;570;300;276;327;368;344;331;283;295;331;806;684;798;833;821;838;673;642;730;389;349;372;386;380;398;333;335;395;
    F. y E.S: Nivel I. Profesor Director, Ordinario y Catedrático;300;241;252;254;231;219;247;166;192;193;116;120;115;118;115;128;123;136;100;..;..;..;..;..;..;..;..;64;39;47;45;43;47;54;49;60;200;174;175;171;158;150;165;106;120;129;78;74;70;75;68;74;73;76;
    F. y E.S: Nivel II. Profesor Agregado y Titular;327;241;278;283;275;260;111;116;136;173;137;166;175;176;173;82;87;102;137;109;136;146;142;133;..;..;..;78;61;85;92;94;90;40;35;52;190;132;142;137;133;127;..;..;..;94;76;81;83;82;83;42;52;50;
    F. y E.S: Nivel III. Profesor Adjunto, Contratado Doctor y Ayudante Doctor;280;345;431;442;370;430;405;393;489;187;247;277;286;249;290;269;264;329;137;159;191;197;171;182;179;182;205;90;117;126;133;119;122;116;129;134;143;186;240;245;199;248;226;211;284;96;130;151;153;130;168;153;135;195;
    F. y E.S: Nivel IV. Profesor Asociado;381;195;226;278;322;269;193;193;242;63;47;55;95;95;61;48;56;67;168;..;..;115;125;..;..;..;101;29;18;28;50;47;28;27;29;34;213;121;137;163;197;174;108;108;141;34;29;27;46;48;33;21;27;33;
    F. y E.S: Nivel V y VI. Profesor Ayudante, Auxiliar o Colaborador;113;142;188;207;232;240;214;270;241;73;77;81;83;84;89;89;101;91;..;..;..;..;..;101;..;123;120;37;41;42;48;40;43;46;52;51;..;..;104;117;134;139;115;147;121;35;37;39;35;44;46;43;49;40;
