
Resultados por universidad
Egresados por tipo de centro, sexo, grupo de edad y ámbito de estudio
Unidades: Número de estudiantes

;Total;;;;;;Total Educación;;;;;;Otra Formación de personal docente y ciencias de la educación;;;;;;Total Artes y humanidades;;;;;;Técnicas audiovisuales y medios de comunicación;;;;;;Artes;;;;;;Lenguas;;;;;;Humanidades;;;;;;Total Ciencias sociales, periodismo y documentación;;;;;;Psicología;;;;;;Economía;;;;;;Otras Ciencias sociales y del comportamiento;;;;;;Periodismo e información;;;;;;Total Negocios, administración y derecho;;;;;;Administración y gestión de empresas;;;;;;Otra Educación comercial y empresarial;;;;;;Derecho;;;;;;Total Ciencias;;;;;;Ciencias de la vida;;;;;;Ciencias Físicas, químicas, geológicas;;;;;;Matemáticas y Estadística;;;;;;Total Informática;;;;;;Informática;;;;;;Total Ingeniería, industria y construcción;;;;;;Ingenierías;;;;;;Arquitectura y construcción;;;;;;Total Agricultura, ganadería,  silvicultura, pesca, y veterinaria;;;;;;Agricultura, ganadería y pesca;;;;;;Veterinaria;;;;;;Total Salud y servicios sociales;;;;;;Medicina;;;;;;Enfermería y atención a enfermos;;;;;;Otras ciencias de la Salud;;;;;;Trabajo social y orientación;;;;;;Total Servicios;;;;;;Deportes;;;;;;Turismo y Hostelería;;;;;;Otros Servicios;;;;;;
;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;2018-2019;2019-2020;2020-2021;2021-2022;2022-2023;2023-2024;
Todas las universidades;
    Total;
        Ambos sexos;
            Total;9.340;9.353;11.136;11.050;11.784;12.391;427;462;605;586;610;616;427;462;605;586;610;616;1.207;1.334;1.501;1.532;1.536;1.574;..;..;..;..;..;..;205;194;267;276;284;279;363;391;432;456;482;496;606;707;764;755;738;765;1.207;1.164;1.405;1.338;1.506;1.583;270;279;318;263;315;331;196;197;247;226;263;283;582;524;645;680;726;795;159;164;195;169;202;174;546;529;653;710;779;847;125;113;149;162;157;183;..;..;..;..;..;..;375;367;452;476;528;598;2.326;2.333;2.545;2.530;2.710;2.814;1.157;1.212;1.351;1.317;1.440;1.471;1.009;959;1.008;1.067;1.093;1.135;160;162;186;146;177;208;258;255;263;247;289;306;258;255;263;247;289;306;1.381;1.284;1.466;1.543;1.624;1.761;1.168;1.055;1.183;1.275;1.335;1.412;213;229;283;268;289;349;248;279;346;299;291;313;186;234;256;233;220;229;..;..;..;..;..;..;1.614;1.580;2.180;2.093;2.243;2.377;488;500;764;695;695;760;..;..;..;..;..;..;1.073;1.033;1.352;1.332;1.473;1.522;..;..;..;..;..;..;126;133;172;172;196;200;..;..;128;118;133;116;..;..;..;..;..;..;.;.;.;.;..;..;
            Menos de 25 años;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;
            De 25 a 30 años;3.710;3.718;3.974;4.033;4.404;4.653;..;122;126;113;131;123;..;122;126;113;131;123;392;465;386;430;412;439;.;..;.;.;.;.;..;..;..;..;..;..;137;167;126;147;161;172;197;230;200;217;190;209;337;319;360;313;352;368;116;107;105;..;113;118;..;..;..;..;..;..;109;..;138;113;120;139;..;..;..;..;..;..;140;..;131;121;142;182;..;..;..;..;..;..;..;..;.;..;..;..;..;..;..;..;..;114;1.407;1.419;1.484;1.535;1.713;1.723;651;726;742;753;848;838;649;601;635;695;745;760;107;..;107;..;120;125;103;..;109;..;143;151;103;..;109;..;143;151;597;577;587;651;677;810;541;509;529;601;621;723;..;..;..;..;..;..;..;101;133;110;123;119;..;..;..;..;..;..;..;..;..;..;..;..;490;481;617;602;667;690;115;108;150;150;162;161;.;.;..;.;..;..;370;364;452;442;492;497;.;.;.;.;.;.;..;..;..;..;..;..;..;..;..;..;..;..;.;.;.;..;.;.;.;.;.;.;.;.;
            De 31 a 40 años;3.629;3.580;4.306;4.133;4.262;4.484;149;138;209;205;199;213;149;138;209;205;199;213;428;485;527;551;530;555;..;..;..;..;..;..;..;..;..;104;102;110;131;131;167;174;160;168;210;257;250;254;254;263;475;481;545;512;597;600;102;122;134;..;128;130;..;..;..;..;103;105;243;226;248;272;286;297;..;..;..;..;..;..;191;196;239;256;293;295;..;..;..;..;..;..;..;..;..;..;..;..;130;133;152;170;204;211;755;721;828;764;723;807;413;401;490;438;435;474;304;282;288;294;244;272;..;..;..;..;..;..;117;105;..;104;..;..;117;105;..;104;..;..;572;496;595;594;608;621;480;402;460;471;474;479;..;..;135;123;134;142;112;130;147;118;115;118;..;112;113;..;..;..;..;..;..;..;..;..;795;774;1.051;960;1.024;1.095;281;288;427;373;357;405;..;.;..;..;..;..;486;471;597;570;644;665;.;.;.;.;.;.;..;..;..;..;..;..;..;..;..;..;..;..;..;..;.;..;..;..;.;.;.;.;.;.;
            Más de 40 años;1.998;2.048;2.853;2.879;3.109;3.251;190;202;270;266;279;279;190;202;270;266;279;279;386;382;586;551;592;580;..;..;..;..;..;..;..;..;121;113;126;114;..;..;139;135;161;156;199;220;313;284;293;293;395;364;500;513;557;615;..;..;..;..;..;..;..;..;..;..;..;100;230;202;259;295;320;359;..;..;..;..;..;..;215;239;283;330;342;370;..;..;..;..;..;..;..;..;..;..;..;..;151;164;209;229;234;273;163;190;232;231;274;283;..;..;119;126;157;158;..;..;..;..;104;103;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;212;210;284;298;339;330;147;143;194;203;240;210;..;..;..;..;..;120;..;..;..;..;..;..;..;..;..;..;..;..;.;.;..;..;..;..;328;324;512;531;549;591;..;104;187;172;176;193;..;..;..;..;..;..;217;197;303;320;334;360;.;.;.;..;..;.;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;.;.;.;.;.;.;
        Hombres;
